| ITERS |       (Xi,Yi)        | f(Xi,Yi)|       (s1,s2)        |  Lambd  |/Xi-Xi-1/|  angle  |           H           |
|       |                      |         |                      |         |/Yi-Yi-1/|         |                       |
|       |                      |         |                      |         |/fi-fi-1/|         |                       |
| 0     |( 0.000000,  0.000000)| 1.000000|                      |         |         |         |                       |
| 1     |( 0.010486,  0.000000)| 0.990134|(-2.000000,  0.000000)| 0.005243| 0.010486| 1.000000|[ 0.498759    0.498747]|
|       |                      |         |                      |         | 0.000000|         |[ 0.498747    0.503734]|
|       |                      |         |                      |         | 0.009866|         |                       |
| 2     |( 0.999998,  1.000000)| 0.000000|(-0.987033, -0.997494)| 1.002512| 0.989513| 0.999986|[ 0.500000    0.500000]|
|       |                      |         |                      |         | 1.000000|         |[ 0.500000    0.505000]|
|       |                      |         |                      |         | 0.990134|         |                       |
