| ITERS |       (Xi,Yi)        | f(Xi,Yi)|       (s1,s2)        |  Lambd  |/Xi-Xi-1/|  angle  |           H           |
|       |                      |         |                      |         |/Yi-Yi-1/|         |                       |
|       |                      |         |                      |         |/fi-fi-1/|         |                       |
| 0     |( 0.000000,  0.000000)|-0.691489|                      |         |         |         |                       |
| 1     |( 2.162562,  1.224384)|-3.030502|(-0.341482, -0.193338)| 6.332875| 2.162562| 1.000000|[ 0.006928   -2.037154]|
|       |                      |         |                      |         | 1.224384|         |[-2.037154   -3.178949]|
|       |                      |         |                      |         | 2.339012|         |                       |
| 2     |( 2.271573,  1.332567)|-3.059302|( 2.554055,  2.534647)|-0.042682| 0.109011|-0.968651|[ 0.316009   -0.492841]|
|       |                      |         |                      |         | 0.108183|         |[-0.492841    4.537167]|
|       |                      |         |                      |         | 0.028801|         |                       |
| 3     |( 1.993471,  3.065863)|-4.327694|( 0.949599, -5.918459)| 0.292863| 0.278102| 0.741417|[ 0.250062    0.008625]|
|       |                      |         |                      |         | 1.733296|         |[ 0.008625    0.723982]|
|       |                      |         |                      |         | 1.268392|         |                       |
| 4     |( 1.992097,  2.756443)|-4.512402|( 0.003955,  0.890881)| 0.347320| 0.001374|-0.813085|[ 0.249846   -0.001479]|
|       |                      |         |                      |         | 0.309420|         |[-0.001479    0.251439]|
|       |                      |         |                      |         | 0.184707|         |                       |
| 5     |( 2.000000,  2.756361)|-4.512557|(-0.009848,  0.000102)| 0.802434| 0.007903| 0.578845|[ 0.200487   -0.000867]|
|       |                      |         |                      |         | 0.000082|         |[-0.000867    0.251432]|
|       |                      |         |                      |         | 0.000156|         |                       |
